status,name_of_covered_entity,individuals_affected,breach_submission_date,web_description,location_of_breached_information,state,covered_entity_type,type_of_breach,business_associate_present
"current","St Joseph Heritage Health",7216,"06/28/2022","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Regal Medical Group,Lakeside Medical Organization, ADOC Acquisition, & Greater Covina Medical Group",3300638,"02/01/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","WellDyneRx, LLC",43523,"07/01/2022","","Email","FL","Business Associate","Hacking/IT Incident","Yes"
"current","Summit BHC West Virginia, LLC d/b/a Highland Hospital",1298,"02/10/2022","","Email","WV","Healthcare Provider","Hacking/IT Incident","No"
"current","CareNet Medical Group, PC",3359,"06/02/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Montgomery General Hospital",500,"04/11/2023","","Network Server","WV","Healthcare Provider","Hacking/IT Incident","No"
"current","Resource Anesthesiology Associates of NM Inc",7054,"10/24/2022","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Regions Hospital",978,"10/24/2022","","Network Server","MN","Healthcare Provider","Hacking/IT Incident","No"
"current","Salud Family Health",501,"10/05/2022","","Network Server","CO","Healthcare Provider","Hacking/IT Incident","No"
"current","Capsule",27486,"05/27/2022","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Surgery Group SC",500,"12/17/2021","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Bansley and Kiener, LLP",50119,"12/03/2021","","Network Server","IL","Business Associate","Hacking/IT Incident","Yes"
"current","Three Rivers Regional Commission",2000,"11/05/2021","","Network Server","GA","Business Associate","Hacking/IT Incident","Yes"
"current","Lincare Holdings Inc.",1737775,"10/26/2021","","Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Coastal Family Health Center, Inc",62342,"07/02/2021","","Network Server","MS","Healthcare Provider","Hacking/IT Incident","No"
"archive","Walgreen Co.",72143,"07/24/2020","","Other Portable Electronic Device, Paper/Films","IL","Healthcare Provider","Theft","No"
"archive","Rocky Mountain Health Care Services",1087,"07/13/2018","","Laptop","CO","Healthcare Provider","Theft","No"
"current","Fredericksburg Anesthesia Services LLC",7069,"09/23/2022","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","ROSE H BAILEY DDS",3000,"10/26/2021","","Desktop Computer","WA","Healthcare Provider","Hacking/IT Incident","No"
"current","Imagine360",112611,"06/30/2023","","Network Server","PA","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Henry Ford Health",500,"06/06/2023","","Email","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Riverside Medical Group",12499,"09/30/2022","","Electronic Medical Record, Network Server","NJ","Healthcare Provider","Hacking/IT Incident","No"
"current","City of Cleveland",15206,"01/20/2023","","Network Server","OH","Health Plan","Unauthorized Access/Disclosure","No"
"current","Resource Anesthesiology Associates of CA A Medical Corporation",16815,"09/23/2022","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Barlow Respiratory Hospital",9880,"12/30/2021","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Multnomah County",2721,"04/12/2023","","Paper/Films","OR","Healthcare Provider","Theft","No"
"current","Optum Medical Care of New Jersey, P.C.",12499,"09/30/2022","","Electronic Medical Record, Network Server","NJ","Healthcare Provider","Hacking/IT Incident","No"
"current","edegMED Healthcare, LLC",6700,"07/06/2023","","Network Server","FL","Business Associate","Hacking/IT Incident","Yes"
"current","Community Research Foundation",30057,"06/20/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Conifer Revenue Cycle Solutions, LLC",134948,"08/12/2022","","Email","TX","Business Associate","Hacking/IT Incident","Yes"
"archive","Valley View Hospital Association",501,"03/19/2022","","Email","CO","Healthcare Provider","Hacking/IT Incident","No"
"archive","Blue Shield of California",1520,"11/19/2021","","Network Server","CA","Health Plan","Hacking/IT Incident","Yes"
"archive","Westwood Obstetrics and Gynecology (“Westwood”)",12931,"05/21/2021","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Columbia River Mental Health Services",501,"08/08/2022","","Email","WA","Healthcare Provider","Hacking/IT Incident","No"
"archive","Niagara County Department of Mental Health and Substance Abuse ",2160,"08/05/2022","","Email","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Gretna Family Health",600,"04/07/2023","","Network Server","NE","Healthcare Provider","Hacking/IT Incident","No"
"archive","MEDNAX Services, Inc.",1290670,"12/16/2020","","Email","FL","Business Associate","Hacking/IT Incident","Yes"
"archive","The Kroger Co., for itself and its affiliates and subsidiaries",10974,"06/18/2020","","Network Server","OH","Healthcare Provider","Hacking/IT Incident","No"
"current","Northern California Fertility Medical Center",12145,"09/21/2022","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Griffith Energy Services Inc. Welfare Benefit Plan",500,"09/24/2021","","Network Server","MD","Health Plan","Hacking/IT Incident","No"
"current","Dialpad, Inc.",1682,"11/14/2022","","Network Server","CA","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Resource Anesthesiology Associates of IN LLC",2136,"10/24/2022","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Lehigh Valley Health Network",627,"05/15/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Resource Anesthesiology Associates of MO LLC",11672,"09/23/2022","","Network Server","MO","Healthcare Provider","Hacking/IT Incident","No"
"current","Resource Anesthesiology Associates of IL PC",18321,"09/23/2022","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Virtual Private Network Solutions, LLC d/b/a VPN Solutions, LLC",500,"12/30/2021","","Network Server","VA","Business Associate","Hacking/IT Incident","Yes"
"current","The Vitality Group, LLC",15569,"07/11/2023","","Network Server","IL","Business Associate","Hacking/IT Incident","Yes"
"current","Harris County Hospital District d/b/a Harris Health System ",224703,"07/21/2023","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","County of Sacramento",1000,"05/23/2023","","Email","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Brightline, Inc.",199000,"04/07/2023","","Network Server","CA","Business Associate","Hacking/IT Incident","Yes"
"current","Brightline, Inc.",462241,"04/07/2023","","Network Server","CA","Business Associate","Hacking/IT Incident","Yes"
"current","California Physicians' Services d/b/a Blue Shield of California",61790,"04/04/2023","","Network Server","CA","Business Associate","Hacking/IT Incident","Yes"
"archive","Wolverine Solutions Group",48471,"12/28/2018","","Desktop Computer, Network Server","MI","Business Associate","Hacking/IT Incident","Yes"
"current","Pension Benefit Information, LLC",1209825,"07/14/2023","","Network Server","MN","Business Associate","Hacking/IT Incident","Yes"
